
a,a,d
consider,consider,
considerable,considerable,
considerably,considerably,
consideration,consideration,
consist,consist,
constant,constant,
constantly,constantly,
construct,construct,
construction,construction,
consult,consult,
consumer,consumer,
contact,contact,
contain,contain,
container,container,
contemporary,contemporary,
contest,contest,
context,context,
continent,continent,
continue,continue,
continuous,continuous,
continuously,continuously,
contract,contract,
contrast,contrast,
contrasting,contrasting,
contribute,contribute,
contribution,contribution,
control,control,
controlled,controlled,
convenient,convenient,
convention,convention,
conventional,conventional,
conversation,conversation,
convert,convert,
convince,convince,
cook,cook,
cooker,cooker,
cookie,cookie,
cooking,cooking,
cool,cool,
cope,cope,
copy,copy,
core,core,
corner,corner,
correct,correct,
correctly,correctly,
cost,cost,
cottage,cottage,
cotton,cotton,
cough,cough,
coughing,coughing,
could,could,
council,council,
count,count,
counter,counter,
country,country,
countryside,countryside,
county,county,
couple,couple,
courage,courage,
course,course,
court,court,
cousin,cousin,
cover,cover,
covered,covered,
covering,covering,
cow,cow,
crack,crack,
cracked,cracked,
craft,craft,
crash,crash,
crazy,crazy,
cream,cream,
create,create,
creature,creature,
credit,credit,
crime,crime,
criminal,criminal,
crisis,crisis,
crisp,crisp,
criterion,criterion,
critical,critical,
criticism,criticism,
criticize,criticize,
crop,crop,
cross,cross,
crowd,crowd,
crowded,crowded,
crown,crown,
crucial,crucial,
cruel,cruel,
crush,crush,
cry,cry,
cultural,cultural,
culture,culture,
cup,cup,
cupboard,cupboard,
curb,curb,
cure,cure,
curious,curious,
curiously,curiously,
curl,curl,
curly,curly,
current,current,
currently,currently,
curtain,curtain,
curve,curve,
curved,curved,
custom,custom,
customer,customer,
customs,customs,
cut,cut,
cycle,cycle,
cycling,cycling,
dad,dad,
daily,daily,
damage,damage,
damp,damp,
dance,dance,
dancer,dancer,
dancing,dancing,
danger,danger,
dangerous,dangerous,
dare,dare,
dark,dark,
data,data,
date,date,
daughter,daughter,
day,day,
dead,dead,
deaf,deaf,
deal,deal,
dear,dear,
death,death,
debate,debate,
debt,debt,
decade,decade,
decay,decay,
December,December,
decide,decide,
decision,decision,
declare,declare,
decline,decline,
decorate,decorate,
decoration,decoration,
decorative,decorative,
decrease,decrease,
deep,deep,
deeply,deeply,
defeat,defeat,
defence,defence,
defend,defend,
define,define,
definite,definite,
definitely,definitely,
definition,definition,
degree,degree,
delay,delay,
deliberate,deliberate,
deliberately,deliberately,
delicate,delicate,
delight,delight,
delighted,delighted,
deliver,deliver,
delivery,delivery,
demand,demand,
demonstrate,demonstrate,
dentist,dentist,
deny,deny,
department,department,
departure,departure,
depend,depend,
deposit,deposit,
depress,depress,
depressed,depressed,
depressing,depressing,
depth,depth,
derive,derive,
describe,describe,
description,description,
desert,desert,
deserted,deserted,
deserve,deserve,
design,design,
desire,desire,
desk,desk,
desperate,desperate,
desperately,desperately,
despite,despite,
destroy,destroy,
destruction,destruction,
detail,detail,
detailed,detailed,
determination,determination,
determine,determine,
determined,determined,
develop,develop,
development,development,
device,device,
devote,devote,
devoted,devoted,
diagram,diagram,
diamond,diamond,
diary,diary,
dictionary,dictionary,
die,die,
diet,diet,
difference,difference,
different,different,
differently,differently,
difficult,difficult,
difficulty,difficulty,
dig,dig,
digital,digital,
dinner,dinner,
direct,direct,
direction,direction,
directly,directly,
director,director,
dirt,dirt,
dirty,dirty,
disabled,disabled,
disadvantage,disadvantage,
disagree,disagree,
disagreement,disagreement,
disappear,disappear,
disappoint,disappoint,
disappointed,disappointed,
disappointing,disappointing,
disappointment,disappointment,
disapproval,disapproval,
disapprove,disapprove,
disapproving,disapproving,
disaster,disaster,
disc,disc,
discipline,discipline,
discount,discount,
discover,discover,
discovery,discovery,
discuss,discuss,
discussion,discussion,
disease,disease,
disgust,disgust,
disgusted,disgusted,
disgusting,disgusting,
dish,dish,
dishonest,dishonest,
dishonestly,dishonestly,
disk,disk,
dislike,dislike,
dismiss,dismiss,
display,display,
dissolve,dissolve,
distance,distance,
distinguish,distinguish,
distribute,distribute,
distribution,distribution,
district,district,
disturb,disturb,
disturbing,disturbing,
divide,divide,
division,division,
divorce,divorce,
divorced,divorced,
doctor,doctor,
document,document,
dog,dog,
dollar,dollar,
domestic,domestic,
dominate,dominate,
door,door,
dot,dot,
double,double,
doubt,doubt,
down,down,
downstairs,downstairs,
downward,downward,
downwards,downwards,
dozen,dozen,
draft,draft,
drag,drag,
drama,drama,
dramatic,dramatic,
dramatically,dramatically,
draw,draw,
drawer,drawer,
drawing,drawing,
dream,dream,
dress,dress,
dressed,dressed,
drink,drink,
drive,drive,
driver,driver,
driving,driving,
drop,drop,
drug,drug,
drugstore,drugstore,
drum,drum,
drunk,drunk,
dry,dry,
due,due,
dull,dull,
dump,dump,
during,during,
dust,dust,
duty,duty,
DVD,DVD,
dying,dying,
e.g.,e.g.,
each,each,
ear,ear,
early,early,
earn,earn,
earth,earth,
ease,ease,
easily,easily,
east,east,
eastern,eastern,
easy,easy,
eat,eat,
economic,economic,
economy,economy,
edge,edge,
edition,edition,
editor,editor,
educate,educate,
educated,educated,
education,education,
effect,effect,
effective,effective,
effectively,effectively,
efficient,efficient,
efficiently,efficiently,
effort,effort,
egg,egg,
eight,eight,
eighteen,eighteen,
eighteenth,eighteenth,
eighth,eighth,
eightieth,eightieth,
eighty,eighty,
either,either,
elbow,elbow,
elderly,elderly,
elect,elect,
election,election,
electric,electric,
electrical,electrical,
electricity,electricity,
electronic,electronic,
elegant,elegant,
element,element,
elevator,elevator,
eleven,eleven,
eleventh,eleventh,
else,else,
elsewhere,elsewhere,
email,email,
embarrass,embarrass,
embarrassed,embarrassed,
embarrassing,embarrassing,
embarrassment,embarrassment,
emerge,emerge,
emergency,emergency,
emotion,emotion,
emotional,emotional,
emotionally,emotionally,
emphasis,emphasis,
emphasize,emphasize,
empire,empire,
employ,employ,
employee,employee,
employer,employer,
employment,employment,
empty,empty,
enable,enable,
encounter,encounter,
encourage,encourage,
encouragement,encouragement,
end,end,
ending,ending,
enemy,enemy,
energy,energy,
engage,engage,
engaged,engaged,
engine,engine,
engineer,engineer,
engineering,engineering,
enjoy,enjoy,
enjoyable,enjoyable,
enjoyment,enjoyment,
enormous,enormous,
enough,enough,
enquiry,enquiry,
ensure,ensure,
enter,enter,
entertain,entertain,
entertainer,entertainer,
entertaining,entertaining,
entertainment,entertainment,
enthusiasm,enthusiasm,
enthusiastic,enthusiastic,
enthusiastically,enthusiastically,
entire,entire,
entirely,entirely,
entitle,entitle,
entry,entry,
envelope,envelope,
environment,environment,
environmental,environmental,
equal,equal,
equally,equally,
equipment,equipment,
equivalent,equivalent,
error,error,
escape,escape,
especially,especially,
essay,essay,
essential,essential,
essentially,essentially,
establish,establish,
estate,estate,
estimate,estimate,
etc.,etc.,
euro,euro,
even,even,
evening,evening,
event,event,
eventually,eventually,
ever,ever,
every,every,
everybody,everybody,
everyone,everyone,
everything,everything,
everywhere,everywhere,
evidence,evidence,
evil,evil,
exact,exact,
exactly,exactly,
exaggerate,exaggerate,
exaggerated,exaggerated,
exam,exam,
examination,examination,
examine,examine,
example,example,
excellent,excellent,
except,except,
exception,exception,
exchange,exchange,
excite,excite,
excited,excited,
excitement,excitement,
exciting,exciting,
exclude,exclude,
excluding,excluding,
excuse,excuse,
executive,executive,
exercise,exercise,
exhibit,exhibit,
exhibition,exhibition,
exist,exist,
existence,existence,
exit,exit,
expand,expand,
expect,expect,
expectation,expectation,
expected,expected,
expense,expense,
expensive,expensive,
experience,experience,
experienced,experienced,
experiment,experiment,
expert,expert,
explain,explain,
explanation,explanation,
explode,explode,
explore,explore,
explosion,explosion,
export,export,
expose,expose,
express,express,
expression,expression,
extend,extend,
extension,extension,
extensive,extensive,
extent,extent,
extra,extra,
extraordinary,extraordinary,
extreme,extreme,
extremely,extremely,
eye,eye,
face,face,
facility,facility,
fact,fact,
factor,factor,
factory,factory,
fail,fail,
failure,failure,
faint,faint,
faintly,faintly,
fair,fair,
fairly,fairly,
faith,faith,
faithful,faithful,
faithfully,faithfully,
fall,fall,
FALSE,FALSE,
fame,fame,
familiar,familiar,
family,family,
famous,famous,
fan,fan,
fancy,fancy,
far,far,
farm,farm,
farmer,farmer,
farming,farming,
farther,farther,
farthest,farthest,
fashion,fashion,
fashionable,fashionable,
fast,fast,
fasten,fasten,
fat,fat,
father,father,
faucet,faucet,
fault,fault,
favour,favour,
favourite,favourite,
fear,fear,
feather,feather,
feature,feature,
February,February,
federal,federal,
fee,fee,
feed,feed,
feel,feel,
feeling,feeling,
fellow,fellow,
female,female,
fence,fence,
festival,festival,
fetch,fetch,
fever,fever,
few,few,
field,field,
fifteen,fifteen,
fifteenth,fifteenth,
fifth,fifth,
fiftieth,fiftieth,
fifty,fifty,
fight,fight,
fighting,fighting,
figure,figure,
file,file,
fill,fill,
film,film,
final,final,
finally,finally,
finance,finance,
financial,financial,
find,find,
fine,fine,
finely,finely,
finger,finger,
finish,finish,
finished,finished,
fire,fire,
firm,firm,
firmly,firmly,
first,first,
fish,fish,
fishing,fishing,
fit,fit,
five,five,
fix,fix,
fixed,fixed,
flag,flag,
flame,flame,
flash,flash,
flat,flat,
flavour,flavour,
flesh,flesh,
flight,flight,
float,float,
flood,flood,
flooded,flooded,
flooding,flooding,
floor,floor,
flour,flour,
flow,flow,
flower,flower,
flu,flu,
fly,fly,
flying,flying,
focus,focus,
fold,fold,
folding,folding,
follow,follow,
following,following,
food,food,
foot,foot,
football,football,
for,for,
force,force,
forecast,forecast,
foreign,foreign,
forest,forest,
forever,forever,
forget,forget,
forgive,forgive,
fork,fork,
form,form,
formal,formal,
formally,formally,
former,former,
formerly,formerly,
formula,formula,
fortieth,fortieth,
fortune,fortune,
forty,forty,
forward,forward,
found,found,
foundation,foundation,
four,four,
fourteen,fourteen,
fourteenth,fourteenth,
fourth,fourth,
frame,frame,
free,free,
freedom,freedom,
freely,freely,
freeze,freeze,
frequent,frequent,
frequently,frequently,
fresh,fresh,
freshly,freshly,
Friday,Friday,
fridge,fridge,
friend,friend,
friendly,friendly,
friendship,friendship,
frighten,frighten,
frightened,frightened,
frightening,frightening,
from,from,
front,front,
frozen,frozen,
fruit,fruit,
fry,fry,
fuel,fuel,
full,full,
fully,fully,
fun,fun,
function,function,
fund,fund,
fundamental,fundamental,
funeral,funeral,
funny,funny,
fur,fur,
furniture,furniture,
further,further,
future,future,
gain,gain,
gallon,gallon,
gamble,gamble,
gambling,gambling,
game,game,
gap,gap,
garage,garage,
garbage,garbage,
garden,garden,
gas,gas,
gasoline,gasoline,
gate,gate,
gather,gather,
gear,gear,
general,general,
generally,generally,
generate,generate,
generation,generation,
generous,generous,
generously,generously,
gentle,gentle,
gentleman,gentleman,
gently,gently,
genuine,genuine,
genuinely,genuinely,
geography,geography,
get,get,
giant,giant,
gift,gift,
girl,girl,
girlfriend,girlfriend,
give,give,
glad,glad,
glass,glass,
global,global,
glove,glove,
glue,glue,
go,go,
goal,goal,
god,god,
gold,gold,
good,good,
goodbye,goodbye,
goods,goods,
govern,govern,
government,government,
governor,governor,
grab,grab,
grade,grade,
gradual,gradual,
gradually,gradually,
grain,grain,
gram,gram,
grammar,grammar,
grand,grand,
grandchild,grandchild,
granddaughter,granddaughter,
grandfather,grandfather,
grandmother,grandmother,
grandparent,grandparent,
grandson,grandson,
grant,grant,
grass,grass,
grateful,grateful,
gravely,gravely,
great,great,
greatly,greatly,
green,green,
grey,grey,
grocery,grocery,
ground,ground,
group,group,
grow,grow,
growth,growth,
guarantee,guarantee,
guard,guard,
guess,guess,
guest,guest,
guide,guide,
guilty,guilty,
gun,gun,
guy,guy,
habit,habit,
hair,hair,
hairdresser,hairdresser,
half,half,
hall,hall,
hammer,hammer,
hand,hand,
handle,handle,
hang,hang,
happen,happen,
happily,happily,
happiness,happiness,
happy,happy,
hard,hard,
hardly,hardly,
harm,harm,
harmful,harmful,
harmless,harmless,
hat,hat,
hate,hate,
hatred,hatred,
have,have,
he,he,
head,head,
headache,headache,
heal,heal,
health,health,
healthy,healthy,
hear,hear,
hearing,hearing,
heart,heart,
heat,heat,
heating,heating,
heaven,heaven,
heavily,heavily,
heavy,heavy,
heel,heel,
height,height,
hell,hell,
hello,hello,
help,help,
helpful,helpful,
hence,hence,
her,her,
here,here,
hero,hero,
hers,hers,
herself,herself,
hesitate,hesitate,
hi,hi,
hide,hide,
high,high,
highlight,highlight,
highly,highly,
highway,highway,
hill,hill,
him,him,
himself,himself,
hip,hip,
hire,hire,
his,his,
historical,historical,
history,history,
hit,hit,
hobby,hobby,
hold,hold,
hole,hole,
holiday,holiday,
hollow,hollow,
holy,holy,
home,home,
homework,homework,
honest,honest,
honestly,honestly,
honour,honour,
hook,hook,
hope,hope,
horizontal,horizontal,
horn,horn,
horror,horror,
horse,horse,
hospital,hospital,
host,host,
hot,hot,
hotel,hotel,
hour,hour,
house,house,
household,household,
housing,housing,
how,how,
however,however,
huge,huge,
human,human,
humorous,humorous,
humour,humour,
hundred,hundred,
hundredth,hundredth,
hungry,hungry,
hunt,hunt,
hunting,hunting,
hurry,hurry,
hurt,hurt,
husband,husband,
I,I,
i.e.,i.e.,
ice,ice,
idea,idea,
ideal,ideal,
identify,identify,
identity,identity,
if,if,
ignore,ignore,
ill,ill,
illegal,illegal,
illegally,illegally,
illness,illness,
illustrate,illustrate,
image,image,
imaginary,imaginary,
imagination,imagination,
imagine,imagine,
immediate,immediate,
immediately,immediately,
immoral,immoral,
impact,impact,
impatient,impatient,
implication,implication,
imply,imply,
import,import,
importance,importance,
important,important,
importantly,importantly,
impose,impose,
impossible,impossible,
impress,impress,
impressed,impressed,
impression,impression,
impressive,impressive,
improve,improve,
improvement,improvement,
in,in,
inability,inability,
inch,inch,
incident,incident,
include,include,
including,including,
income,income,
increase,increase,
increasingly,increasingly,
indeed,indeed,
independence,independence,
independent,independent,
independently,independently,
index,index,
indicate,indicate,
indication,indication,
indirect,indirect,
indirectly,indirectly,
individual,individual,
indoor,indoor,
indoors,indoors,
industrial,industrial,
industry,industry,
inevitable,inevitable,
inevitably,inevitably,
infect,infect,
infected,infected,
infection,infection,
infectious,infectious,
influence,influence,
inform,inform,
informal,informal,
information,information,
ingredient,ingredient,
initial,initial,
initially,initially,
initiative,initiative,
injure,injure,
injured,injured,
injury,injury,
ink,ink,
inner,inner,
innocent,innocent,
insect,insect,
insert,insert,
inside,inside,
insist,insist,
install,install,
instance,instance,
instead,instead,
institute,institute,
institution,institution,
instruction,instruction,
instrument,instrument,
insult,insult,
insulting,insulting,
insurance,insurance,
intelligence,intelligence,
intelligent,intelligent,
intend,intend,
intended,intended,
intention,intention,
interest,interest,
interested,interested,
interesting,interesting,
interior,interior,
internal,internal,
international,international,
Internet,Internet,
interpret,interpret,
interpretation,interpretation,
interrupt,interrupt,
interruption,interruption,
interval,interval,
interview,interview,
into,into,
introduce,introduce,
introduction,introduction,
invent,invent,
invention,invention,
invest,invest,
investigate,investigate,
investigation,investigation,
investment,investment,
invitation,invitation,
invite,invite,
involve,involve,
involved,involved,
involvement,involvement,
iron,iron,
irritate,irritate,
irritated,irritated,
irritating,irritating,
island,island,
issue,issue,
it,it,
item,item,
its,its,
itself,itself,
jacket,jacket,
jam,jam,
January,January,
jealous,jealous,
jeans,jeans,
jelly,jelly,
jewellery,jewellery,
job,job,
join,join,
joint,joint,
jointly,jointly,
joke,joke,
journalist,journalist,
journey,journey,
joy,joy,
judge,judge,
judgement,judgement,
juice,juice,
July,July,
jump,jump,
June,June,
junior,junior,
just,just,
justice,justice,
justified,justified,
justify,justify,
keen,keen,
keep,keep,
key,key,
keyboard,keyboard,
kick,kick,
kid,kid,
kill,kill,
killing,killing,
kilogram,kilogram,
kilometre,kilometre,
kind,kind,
kindly,kindly,
kindness,kindness,
king,king,
kiss,kiss,
kitchen,kitchen,
knee,knee,
knife,knife,
knit,knit,
knitted,knitted,
knitting,knitting,
knock,knock,
knot,knot,
know,know,
knowledge,knowledge,
lab,lab,
label,label,
laboratory,laboratory,
labour,labour,
lack,lack,
lacking,lacking,
lady,lady,
lake,lake,
lamp,lamp,
land,land,
landscape,landscape,
lane,lane,
language,language,
large,large,
largely,largely,
late,late,
later,later,
latest,latest,
latter,latter,
laugh,laugh,
launch,launch,
law,law,
lawyer,lawyer,
lay,lay,
layer,layer,
lazy,lazy,
leader,leader,
leaf,leaf,
league,league,
lean,lean,
learn,learn,
least,least,
leather,leather,
leave,leave,
lecture,lecture,
left,left,
leg,leg,
legal,legal,
legally,legally,
lemon,lemon,
lend,lend,
length,length,
less,less,
lesson,lesson,
let,let,
letter,letter,
level,level,
library,library,
licence,licence,
license,license,
lid,lid,
life,life,
lift,lift,
light,light,
lightly,lightly,
like,like,
likely,likely,
limit,limit,
limited,limited,
line,line,
link,link,
lip,lip,
liquid,liquid,
list,list,
listen,listen,
literature,literature,
litre,litre,
little,little,
lively,lively,
living,living,
load,load,
loan,loan,
local,local,
locally,locally,
locate,locate,
located,located,
location,location,
lock,lock,
logic,logic,
logical,logical,
lonely,lonely,
long,long,
look,look,
loose,loose,
loosely,loosely,
lord,lord,
lorry,lorry,
lose,lose,
loss,loss,
lost,lost,
lot,lot,
loud,loud,
loudly,loudly,
love,love,
lovely,lovely,
lover,lover,
low,low,
loyal,loyal,
luck,luck,
lucky,lucky,
luggage,luggage,
lump,lump,
lunch,lunch,
lung,lung,
machine,machine,
machinery,machinery,
mad,mad,
magazine,magazine,
magic,magic,
mail,mail,
main,main,
mainly,mainly,
maintain,maintain,
major,major,
majority,majority,
make,make,
make-up,makup,n
male,male,
mall,mall,
man,man,
manage,manage,
management,management,
manager,manager,
manner,manner,
manufacture,manufacture,
manufacturer,manufacturer,
manufacturing,manufacturing,
many,many,
map,map,
march,march,
March,March,
mark,mark,
market,market,
marketing,marketing,
marriage,marriage,
married,married,
marry,marry,
mass,mass,
massive,massive,
master,master,
match,match,
matching,matching,
mate,mate,
material,material,
mathematics,mathematics,
matter,matter,
maximum,maximum,
may,may,
May,May,
maybe,maybe,
mayor,mayor,
me,me,
meal,meal,
mean,mean,
meaning,meaning,
means,means,
meanwhile,meanwhile,
measure,measure,
measurement,measurement,
meat,meat,
media,media,
medical,medical,
medicine,medicine,
medium,medium,
meet,meet,
meeting,meeting,
melt,melt,
member,member,
membership,membership,
memory,memory,
mental,mental,
mentally,mentally,
mention,mention,
menu,menu,
mere,mere,
merely,merely,
mess,mess,
message,message,
metal,metal,
